location,date,new_cases,new_deaths,new_vaccinations,population
Nepal,2022,172375.0,425.0,6746619.0,9683584762.0
Netherlands,2020,806620.0,11482.0,0.0,5427282180.0
Netherlands,2021,2346892.0,9540.0,0.0,6410867300.0
Netherlands,2022,5385803.0,1962.0,0.0,5567794340.0
New Caledonia,2020,39.0,0.0,0.0,83508192.0
New Caledonia,2021,12788.0,281.0,0.0,105835035.0
New Caledonia,2022,62088.0,33.0,0.0,91917003.0
New Zealand,2020,2164.0,26.0,0.0,1597069012.0
New Zealand,2021,11959.0,22.0,8185406.0,1892630485.0
New Zealand,2022,1879998.0,2123.0,3657654.0,1643736613.0
Nicaragua,2020,4829.0,165.0,0.0,2001137760.0
Nicaragua,2021,8734.0,52.0,0.0,2536164175.0
Nicaragua,2022,1640.0,29.0,0.0,2202641215.0
Niger,2020,3327.0,104.0,0.0,7521690834.0
Niger,2021,4082.0,171.0,0.0,9565913430.0
Niger,2022,2025.0,39.0,0.0,8307930294.0
Nigeria,2020,87607.0,1290.0,0.0,67310694528.0
Nigeria,2021,153906.0,1741.0,2974281.0,79767543840.0
Nigeria,2022,24759.0,129.0,186047.0,69277565472.0
Niue,2021,0.0,0.0,0.0,378688.0
Niue,2022,0.0,0.0,0.0,417728.0
